focus_group_subtype,focus_group_subtype_id,doc_no_within_subtype,question_id,question_text,parent_num,parent_answer,sentiment
gaming_group,1,1,2,"We thought that a good way to start might be if everyone could just grab a paper and pencil and try to write down three positive ways that technology has impacted you since the start of the pandemic, and two or three negative ways that technology has impacted you since the start of the pandemic. And then we'll talk about it.",4,"I can go. My kids probably had more... It sounds like they did more online than, so far, the rest of them. But my daughter in high school definitely had almost all of her homework... Not all of it because she was assigned in school, but she definitely was on doing homework, I feel like, a good amount. Nothing like now, but definitely was using it. My middle schooler also, but not as much. They both did play games or use Instagram, my daughter was really into Instagram, not as much anymore but definitely games. Now it's just like a free-for-all. I mean, they're in their rooms with the door shut, I have no idea what they're doing all day. I just know that they're doing their homework, getting good grades. I think they're on electronics the entire day.",negative
gaming_group,1,1,2,"We thought that a good way to start might be if everyone could just grab a paper and pencil and try to write down three positive ways that technology has impacted you since the start of the pandemic, and two or three negative ways that technology has impacted you since the start of the pandemic. And then we'll talk about it.",1,"Yeah, so I have a similar experience with my eight-year-old. Pre-pandemic he was still in second grade so the use of computers was very limited. Maybe once a week he would type, words of the week was one of the options I picked to do. That was his only interaction with computer. Of course he had devices to play on, and he would go to his father's house every other weekend and he would be more exposed there to computers. But still he was busy. He was busy during the week, there was school, there was getting to school, getting from school, that's a trip in itself.",negative
gaming_group,1,1,2,"We thought that a good way to start might be if everyone could just grab a paper and pencil and try to write down three positive ways that technology has impacted you since the start of the pandemic, and two or three negative ways that technology has impacted you since the start of the pandemic. And then we'll talk about it.",1,"There was hockey, we had TaeKwonDo, he was very busy. Even then it didn't seem like enough, it didn't seem like we were doing enough but he was certainly a lot busier than now. And he did get to play, mostly probably on the weekends, and again, weekends were also pretty packed. So I don't know how he had time, but he did play, not a lot. And of course we were able to control it, it was an item you had to earn and if you didn't do well then you don't get to play. So it was a tool we could use as incentive during the week. So now that's all out the window, it's all available right there all day long. And getting him away from the computer now is a project in itself every day.",positive
gaming_group,1,1,3,Okay. If you can walk me through a little bit how your use of technology changed through the pandemic when they had to start using it more for school or what your situation was for your child.,1,"I can say for my eight-year-old, because again, we went from not really knowing how to use a computer or how to type, to transition really smoothly, I mean if you can call that a benefit, we transitioned really quickly. He was typing away, quickly was able to navigate where to go to sign into a Google classroom. So, that was impressive in the beginning, how quickly they were able to adapt to that. So yes... I'm sorry, can you repeat the question?",negative
gaming_group,1,1,3,Okay. If you can walk me through a little bit how your use of technology changed through the pandemic when they had to start using it more for school or what your situation was for your child.,1,"Right, exactly, it seems beneficial because it is an important part of your life as you grow older in high school clearly, and in middle school as Parent 4 said, there's some use of computer. So at first it seemed like a good thing, and I'm sure it is a good thing, it's just, like I said, it's just become overwhelming use of technology because they sit in front of it all day. And another thing, this use of YouTube, because I understand teachers post some things that you can look up on YouTube, so you can't block YouTube because it'll be used as a tool for one of those classes they have.",negative
gaming_group,1,1,3,Okay. If you can walk me through a little bit how your use of technology changed through the pandemic when they had to start using it more for school or what your situation was for your child.,1,"But YouTube is just this bottomless hole of... I can't even begin, it's just so bad. And transition from looking at your Google classroom or your Google meet and here's YouTube, it's just so easy. And we were not always there, we still have jobs and other things to do, can't just sit on top of them. So this accessibility of technology that has this type of content, like YouTube, that's not beneficial for kids, that's been problematic, to say the least.",positive
gaming_group,1,1,3,Okay. If you can walk me through a little bit how your use of technology changed through the pandemic when they had to start using it more for school or what your situation was for your child.,5,"So for us, we only had a desktop and a laptop, which was more than sufficient pre-pandemic. And then everybody needed a device, all of a sudden everybody needed a device Needed to be on at basically the same times so we got one device from school, we bought a laptop, we found an old laptop. It was like the gathering of devices. And then teaching... My nine-year-old, teaching him how to use it, he really hadn't used computers in that way. And so teaching him how to use it. My middle son is prone to migraines and so being on the screen caused migraines and so that caused some aversion because he didn't want to be on.",negative
gaming_group,1,1,3,Okay. If you can walk me through a little bit how your use of technology changed through the pandemic when they had to start using it more for school or what your situation was for your child.,5,"The schedules were kind of crazy, like all over the place. And the truth is that it's hard because my 17-year-old, who knew how to do all these things just kind of stayed in his room for months. And it was just... I feel bad saying it, but he was kind of left to his own devices. He wasn't a big social media guy, he has no social media still, but when the only way to communicate with his peers became to use... What is it? Discord, and all these other things, that became the only way to communicate with people. And then it almost, I feel like... Like Parent 1 said, it's like this black hole that sucks you in.",positive
gaming_group,1,1,3,Okay. If you can walk me through a little bit how your use of technology changed through the pandemic when they had to start using it more for school or what your situation was for your child.,5,"And then there was also no schedule. Because we have some special needs in our family, my schedule is really tight with my kids and so the little guys we go to bed at 8:30 and then 9:00 and then the older one was in bed by 10:00 and there was a lot of structure, and literally it was like a bomb hit it. People were going to bed at 1:00 in the morning, it was just totally... It felt chaotic and out of control, and it felt like the technology sputtered for a little bit as we gt devices figured out how to get everybody on and then it was this black hole that sucked you in. And then everybody was on for hours and hours and hours and hours and hours, and it felt out of control.",negative
gaming_group,1,1,3,Okay. If you can walk me through a little bit how your use of technology changed through the pandemic when they had to start using it more for school or what your situation was for your child.,3,"Sure, when lock down happened my then first grader, the school did a great job pivoting to remote quite quickly. They used seesaw as a platform. I did get two laptops from the DOE because we have a lot of tech but it's all very old and kind of fragile and I'm like, they're going to wreck it all. Nothings insured. We're self-employed and I could just see the whole business being wiped out so we did take a DOE iPads which was a lifesaver. But also, again, we got to one point where the computer teacher did that YouTube... We were not on the YouTube and she sent one link and they figured out, ""Oh, I can get to YouTube from this link.""",negative
gaming_group,1,1,3,Okay. If you can walk me through a little bit how your use of technology changed through the pandemic when they had to start using it more for school or what your situation was for your child.,3,"And then it was like a bomb went off, they figured it out, they figured out workarounds and it was like Pandora's box. I was trying to figure out how to block... I was on the phone with the DOE, I was on the phone with a parent coordinator, I was calling the principal, like, ""How can I block YouTube without..."" I was putting timer things, it was driving me crazy, and it was downhill from there. I finally figured out my son, by banging on it so much he's actually broken the screen so whatever controls I put in, he could bang on it and it would just do whatever he wanted. A month later I exchange the iPad but I nearly ripped my own hair out over this YouTube. Yeah, the addiction sunk in over those first five months of lockdown of screens and YouTube and just that misery sucking.",negative
gaming_group,1,1,3,Okay. If you can walk me through a little bit how your use of technology changed through the pandemic when they had to start using it more for school or what your situation was for your child.,4,"Like I said, both my kids are on it all day. They're fully remote, both of them. Neither one of them has a full schedule so I hear my son... Because my desk is right next to his room, and I'm hearing him at like 10:00 in the morning, profanities on a game with his friend. And I'm like, I don't understand, it's a school day. Well, they don't have school, it's in between a break. So it's definitely made our day... Especially since I'm working right next to him, very difficult to try and do my job and be next to him. But it's their lives, they're in their rooms, if it's not school then it's playing games. My son plays a lot of games with his friends, my daughter doesn't but then she'll be on the YouTube also a lot, TickTock, whatever, and I kind of don't see them a lot during the day. Thankfully they do okay so I don't ask... I used to be a more involved and now I'm not really involved. Now it's a free for all.",negative
gaming_group,1,1,3,Okay. If you can walk me through a little bit how your use of technology changed through the pandemic when they had to start using it more for school or what your situation was for your child.,4,"Yeah, I don't feel like there's even much to be involved. They don't have much, especially my middle Schooler, has nothing to do so there isn't even much for me to ask him.",positive
gaming_group,1,1,4,Do any of you think that you'll have challenges with your children returning to school full-time?,4,"Absolutely. If you want, I can finish that. Actually I'm having problems now because my sons school said... We requested, they didn't say it, but depending on the size of the class you might be able to go in one more day. You can only go one day a week now. And I was able to get him in two days. And the fit that I got, screaming at me for five days until that day came, it was horrible. About how [inaudible 00:33:53] the worst, making him go in for two days instead of just one, so I can only imagine what's going to happen next year.",positive
gaming_group,1,1,4,Do any of you think that you'll have challenges with your children returning to school full-time?,2,"I'm sorry. My sons, they actually go to school five days out of the week. Initially we were blended and I had the same issues, the same issues with just constantly on YouTube, and constantly playing Roblox. When they were supposed to do their work I would go in and I would see them clicking out of the YouTube window. We received two laptops from the DOE as well, but before it was kind of limited because we had a desktop and we had a laptop. So before they had to take turns going on the computer if they were allowed to. They went on the computer but it was mainly on the weekends because they did play Roblox but not as often.",negative
gaming_group,1,1,4,Do any of you think that you'll have challenges with your children returning to school full-time?,2,"But after everything shut down I didn't have much entertainment to do besides television or talking with your friends or Roblox or Discord or whatever. Yeah, it just consumed a lot of their time. My daughter, who is three, I couldn't send her to the babysitter anymore, so she was home with me while I was working from home so I would have to force her to look at YouTube too, or watch the television. So I kind of really felt bad because I had to do that so I try to always turn on something educational, like Sesame Street. But then she started telling me what she wanted to watch after a while, Nick Jr. or Netflix, so that became a problem.",positive
gaming_group,1,1,4,Do any of you think that you'll have challenges with your children returning to school full-time?,2,"But even after my son started going back to school five days out of the week it still became a problem, technology, because right after they do their homework they will go on YouTube or they go on Roblox or something. I don't know what they're doing in the back. I have to tell them to go in the back because when they come home from school I still have to work so it still became a problem even though they're back in school five days out of the week. So yeah, and they still have some assignments on the computer, like homework assignments on the computer. Yeah, even if they go back to school I feel like it still would be a problem if you're having issues now with them remotely. So yeah, that's my experience.",negative
gaming_group,1,1,4,Do any of you think that you'll have challenges with your children returning to school full-time?,5,"For me, the months that I tried to work from home with my three kids was nearly impossible, like I'm sure many other people. So out of desperation, in September we decided to put my middle schooler in a private school, so he has been going five days a week with some interruptions when they close school, but there hasn't been that many. Today, I guess I got word from the elementary school that they're moving to a five day week model, I guess in two weeks. But my son has been going for two days a week since October with the school closings and stuff. But he is happy to go. He's looking forward to go. And my high schooler has also been going blended, it's interesting because sometimes...",negative
gaming_group,1,1,4,Do any of you think that you'll have challenges with your children returning to school full-time?,5,"And my high schooler, I think it's interesting because even if he's the only one, which has happened several times, he goes when he supposed to go. I was like, ""You're going to keep going?"" And he's like, ""Yeah, I'm going to go."" And I'm like, ""Okay."" So I personally don't anticipate any issues. He's graduating, I think that's also part of it, because I think they missed out on their whole senior year and everything that they were looking forward to so just being able to go and see teachers and stuff like that, he I think wants that connection with people. So when he supposed to go, which is kind of like one day a week, maybe sometimes two days a week, they have this weird schedule that I still can't figure out, he's been going, he goes. So with my kids, they have bought into going back to school.",negative
gaming_group,1,1,5,Anything else anyone is anticipating about the transition back to going in person?,4,"My son has been on a 2-3 day week model since January. Before that it was 1-2 days a week I think. But between all the quarantines and the school closures because of those two case rules that they had we were in quarantine all the time until... Hopefully going forward it will be better, but we were in school barely, mostly all remote because of all that. But we've gone a few times for sure. My son, he's on the spectrum so he has all these social/emotional issues that usually prevent him from being able to get along with children. All prior to the school year... We did start a new school this year, so in September we went to a new school that we've attended this year, which was a group of 7-8 kids, when he was in person because of the cohorts. So maybe that has to do with an overall positive experience for him on the days that he did go in person, compared to the prior years when he was one of 32 with all these issues that he had that we didn't even address until this year.",negative
gaming_group,1,1,5,Anything else anyone is anticipating about the transition back to going in person?,4,"And as a matter fact we just actually got placed in the NES program so hopefully next year he will... Even though it was a difficult decision to make because we just started a new school this year, new school next year, but I understand it would benefit him and sort of tailored to the exact issues that he has. But in terms of him going back in person, it has been an overall positive experience, he is not protesting or anything. He was able to even make some friends even though they're social distancing with masks on and everything. So I was surprised and happy about that.",negative
gaming_group,1,1,5,Anything else anyone is anticipating about the transition back to going in person?,4,"Hopefully that will continue, but again, he will go to this program in September, he'll be in a smaller class size. Because I think the 32 kids that we've always had was overwhelming for him and he couldn't get along with anyone and it was just daily calls from school and nobody really ever addressed the issues that he had. It was always just like, he's that kid, type of thing. All the tears that were cried by me. So yeah, so I think... He actually even said the other day, ""Oh yes, I'm going..."" Because I remind him advance to prepare him that tomorrow is in person. He said, ""Oh yeah, I'll have something else to do than to play Roblox.",negative
gaming_group,1,1,5,Anything else anyone is anticipating about the transition back to going in person?,4,"Exactly. So I think this is actually one of the silver linings for me with the pandemic, is kids that have issues, sort of like some of our children, when there's a big class size and one teacher and all that, they may not have a good experience I may not want to go back there. But so far, in our case, I think due to the smaller class size, due to having a little more, I guess, personal attention from the teacher who is able to expand herself for the seven kids, it was overall good. It was actually better than the years before.",negative
gaming_group,1,1,6,"Interesting. So I'm just going to move on to a different question before we focus more on gaming. So as we're going back to school I'm just curious to hear from people, are there any aspects of the changes in the use of technology that you would like to see continue as we go back? Any positive parts you would like to see continue, or are there parts that you're really hoping would end as we go back?",3,"The Google Classrooms, since my daughter has very little executive functioning, she has social anxiety and ADHD, just being able to use the chat function since she'll never raise her hand and she'll never ask for help. Using Google Classroom to directly reach out to the teacher and use the chat function has been fantastic. And then when she goes in blended she has more direct contact with the teacher. She goes in twice or three times a week with her cohort. So I like the Google Classroom set up for her as a sixth grader. Also, the smaller cohorts have been great. It's going to be, just to answer the other question, odd when it goes back to 32 kids. But I love that she can send a quick message, she gets a quick response back, and so that communication has really helped her a lot as an introvert and having those issues.",negative
gaming_group,1,1,6,"Interesting. So I'm just going to move on to a different question before we focus more on gaming. So as we're going back to school I'm just curious to hear from people, are there any aspects of the changes in the use of technology that you would like to see continue as we go back? Any positive parts you would like to see continue, or are there parts that you're really hoping would end as we go back?",4,"Yeah, same thing with Google Classroom. It's probably recent, in the past month or two maybe, that we get a daily update at the end of the day for my middle schooler. I at least see what he's doing, which is probably more than what I ever got from him or the school, definitely from the school, before. So, that's nice to at least get a daily rundown of... It might only be a sentence or two each, but it's at least Something. So, that's nice. And I also like that they do get immediate responses basically from teachers if they have questions on homework or questions... Whatever it might be, but everyone is pretty receptive to responding in a quick time period.",negative
gaming_group,1,1,6,"Interesting. So I'm just going to move on to a different question before we focus more on gaming. So as we're going back to school I'm just curious to hear from people, are there any aspects of the changes in the use of technology that you would like to see continue as we go back? Any positive parts you would like to see continue, or are there parts that you're really hoping would end as we go back?",1,"So my son, Google Classroom, it was not a good experience because he would not put his camera on, he would just hide behind his camera. He would not participate. He did not reach out in the G chat message or whatever. So that part has not been working out for us very well. However, someone had an idea that I overheard, and so I found a tutor, just another teacher from another school who does tutoring. And so the ability to have tutoring at your fingertips without having to commute or travel, or go and wait and sit there in the car has been... And not just that, but the ability to one on one connects like this.",negative
gaming_group,1,1,6,"Interesting. So I'm just going to move on to a different question before we focus more on gaming. So as we're going back to school I'm just curious to hear from people, are there any aspects of the changes in the use of technology that you would like to see continue as we go back? Any positive parts you would like to see continue, or are there parts that you're really hoping would end as we go back?",1,"So the one teacher, who is... and not in a very formal way like his teacher, in a less formal way. So that's been amazing. So the feedback that I get from his two tutors that he has... And we haven't been doing it for a long time, maybe a month or so, maybe over a month, has been been great. Overall very positive. So I'm very happy because he did need help in ELA and math and was complete lack of participation in his Google Classroom. I didn't even know what he knew and what he learned any more this past year. So the one on one ability without having to go anywhere, get dressed, drive, so that was a great deal and I hope that will stay. And I hope it will stay because, why not? There's a demand and there's a supply, I think that would be one good takeaway, some remote learning options.",positive
gaming_group,1,1,6,"Interesting. So I'm just going to move on to a different question before we focus more on gaming. So as we're going back to school I'm just curious to hear from people, are there any aspects of the changes in the use of technology that you would like to see continue as we go back? Any positive parts you would like to see continue, or are there parts that you're really hoping would end as we go back?",2,The only thing I probably would miss about using technology is the communication with the schools and the teachers. It was easier to communicate–,negative
gaming_group,1,1,6,"Interesting. So I'm just going to move on to a different question before we focus more on gaming. So as we're going back to school I'm just curious to hear from people, are there any aspects of the changes in the use of technology that you would like to see continue as we go back? Any positive parts you would like to see continue, or are there parts that you're really hoping would end as we go back?",2,"Yes, having direct contact with the teachers and the schools ,instead of the school sending a bunch of print outs with the children in folders, that became overwhelming, all the paper. The teachers, they were able to reach out to me immediately. I mean, not that they weren't doing that before, but I think it became easier to do because it just became that platform that everyone was using. I believe my school, they use Class Dojo as a way to communicate. I think the platform that they used for the students in the school work was iLearn and I didn't really like it so I'm kind of glad...",negative
gaming_group,1,1,6,"Interesting. So I'm just going to move on to a different question before we focus more on gaming. So as we're going back to school I'm just curious to hear from people, are there any aspects of the changes in the use of technology that you would like to see continue as we go back? Any positive parts you would like to see continue, or are there parts that you're really hoping would end as we go back?",2,"I mean, now that they're going to school five days a week they don't need to use that. I think only the children who are remote use it, but I didn't really like it, it wasn't intuitive and I wasn't able to view the assignments, both of their assignments to make sure that they did it. And then some things they were able to do online, but somethings they had to print out, so it was kind of all over the place. So yeah, the only thing I would appreciate that they continue doing is using it as a way to communicate with the parents, that's all.",positive
gaming_group,1,1,7,"Okay, and Parent 5, we'll definitely add your comment to our notes, thank you. Okay, let's, for the last 10 or 15 minutes, just move into talking a little bit about gaming specifically. I'd like to hear from you guys, what was your child's gaming use before the pandemic, did you see it as beneficial? Did you have concerns before? And then, how has that gaming use changed since the pandemic started, any benefits? Do you have concerns or problems? So I open it up to whoever wants to start.",4,"My daughter never did gaming before. I mean, years ago she did Minecraft, but not anything recently. She does other stuff online and is on there a lot, but as far as gaming, no. My son, the only positive thing I guess about it is we don't fight about it as much. I used to have to... It's not necessarily positive, it's kind of contradictory, but I don't even tell him to get off anymore. It used to be a fight because I used to have to tell him to get off, now we don't... So the fighting has actually gone down. The flip side of that is he's just on so much more. The language has got worse on the game and I'm constantly having to stop it. But he also has gotten a little closer with some of his friends that he can't see anymore because they're online talking. And the moms and I will say, ""Did you hear they did this,"" if there's a problem. I mean, he's definitely playing more, but he played a lot beforehand too, not like this.",negative
gaming_group,1,1,7,"Okay, and Parent 5, we'll definitely add your comment to our notes, thank you. Okay, let's, for the last 10 or 15 minutes, just move into talking a little bit about gaming specifically. I'd like to hear from you guys, what was your child's gaming use before the pandemic, did you see it as beneficial? Did you have concerns before? And then, how has that gaming use changed since the pandemic started, any benefits? Do you have concerns or problems? So I open it up to whoever wants to start.",4,"It was at the beginning. At the beginning of all of this, it was. Then after I realized that there's nothing else for him to do... I mean, at one point he had a broken ankle so he couldn't even play his sports, even take a walk. Then I'm like, what am I going to... Unless I'm prepared to sit there and entertain him or teach him myself, which I can't when I'm working, I have no choice.",negative
gaming_group,1,1,7,"Okay, and Parent 5, we'll definitely add your comment to our notes, thank you. Okay, let's, for the last 10 or 15 minutes, just move into talking a little bit about gaming specifically. I'd like to hear from you guys, what was your child's gaming use before the pandemic, did you see it as beneficial? Did you have concerns before? And then, how has that gaming use changed since the pandemic started, any benefits? Do you have concerns or problems? So I open it up to whoever wants to start.",1,"As I mentioned, we did not play a lot, certainly some of these video that involve multiplayer or whatever, when they have to chat with each other and they can do it together. We didn't have any exposure to that. I can't again, he was seven years old, he's eight now, so maybe it was just a little early. But this year it just blossomed, if it's the right word, he's playing a lot. I think some of it, again, may be my fault because it's a good babysitter. If you're trying to get through your work, we all have jobs, demanding jobs, it's easier to... instead of just standing there trying to control his gaming, you're just, ""Okay, he's busy and I'm going to get my work done."" So I think it lasted for a while and I think I just kind of gave into that convenience. Just because it truly... I also had to get my job done. Do you know?",negative
gaming_group,1,1,7,"Okay, and Parent 5, we'll definitely add your comment to our notes, thank you. Okay, let's, for the last 10 or 15 minutes, just move into talking a little bit about gaming specifically. I'd like to hear from you guys, what was your child's gaming use before the pandemic, did you see it as beneficial? Did you have concerns before? And then, how has that gaming use changed since the pandemic started, any benefits? Do you have concerns or problems? So I open it up to whoever wants to start.",1,"So I think I gave into that and I just kind of let it go until I realized it's 12:00 and just out of control, so I decided to regain some control successfully. I was able to separate his computer from gaming computer. So that works out, so far so good. I limited it, so he plays a little bit less. But in terms of positive, I also would echo what Parent 4 said, that he was able to connect a little bit more with his friends. And again, as I mentioned, he does have issues with social life, he has trouble making friends and doesn't use appropriate language with friends so sometimes they don't want to be friends with him, those type of things. While they play all these video games and they're pursuing the same goal, whatever that goal is in a game, and he was able to connect with them and speak to them, something we may not even have had, had we not been sitting at home without being able to [inaudible 00:53:56].",negative
gaming_group,1,1,7,"Okay, and Parent 5, we'll definitely add your comment to our notes, thank you. Okay, let's, for the last 10 or 15 minutes, just move into talking a little bit about gaming specifically. I'd like to hear from you guys, what was your child's gaming use before the pandemic, did you see it as beneficial? Did you have concerns before? And then, how has that gaming use changed since the pandemic started, any benefits? Do you have concerns or problems? So I open it up to whoever wants to start.",2,"Well, for me the gaming, I was able to control it a little more before the pandemic, but now I noticed that it's starting getting out of control. Once I noticed that they were sneaking to go on Roblox and YouTube instead of doing their work. And then once I seen that it was... I would say it was just affecting their attention and they weren't focused so when I would punish them and say, ""Well, now you can't go on Roblox,"" they would get really upset, they would cry. It was like it was the end of the world for them. I think at one point I changed their password so they can't logon unless I log on for them.",positive
gaming_group,1,1,7,"Okay, and Parent 5, we'll definitely add your comment to our notes, thank you. Okay, let's, for the last 10 or 15 minutes, just move into talking a little bit about gaming specifically. I'd like to hear from you guys, what was your child's gaming use before the pandemic, did you see it as beneficial? Did you have concerns before? And then, how has that gaming use changed since the pandemic started, any benefits? Do you have concerns or problems? So I open it up to whoever wants to start.",2,"But they learned that if they never log off, if they were to just leave it, they can just open the page back up. So I didn't realize that that was happening. I'm like, ""Wait, how are you on Roblox? Oh, you never logged off."" So on Sunday evenings I have to make sure I've logged them off. Because I would let them play after they did their work, but they weren't really doing that great in school so then I just said no more Roblox during the week. Yeah, so I try to control it but it's still hard because then they still have YouTube that they watch and it's just...",negative
gaming_group,1,1,7,"Okay, and Parent 5, we'll definitely add your comment to our notes, thank you. Okay, let's, for the last 10 or 15 minutes, just move into talking a little bit about gaming specifically. I'd like to hear from you guys, what was your child's gaming use before the pandemic, did you see it as beneficial? Did you have concerns before? And then, how has that gaming use changed since the pandemic started, any benefits? Do you have concerns or problems? So I open it up to whoever wants to start.",2,"But I guess one positive outcome is the fact that they were communicating with their friends, with their cousin who lives far away, or whatever. They have a better social life. Because before they wouldn't talk to anybody but now they communicate, they keep in touch. But now it's just regaining the control back and getting them to understand that there's a time and place for everything and you shouldn't allow these things to consume your time. It's frustrating for me after a while. I'm like, ""Wait, you guys have been on the computer all day. No. You guys, no, it's time to give this a break."" Then they'll get upset and it's an argument. So yeah, that's it for me.",positive
gaming_group,1,1,7,"Okay, and Parent 5, we'll definitely add your comment to our notes, thank you. Okay, let's, for the last 10 or 15 minutes, just move into talking a little bit about gaming specifically. I'd like to hear from you guys, what was your child's gaming use before the pandemic, did you see it as beneficial? Did you have concerns before? And then, how has that gaming use changed since the pandemic started, any benefits? Do you have concerns or problems? So I open it up to whoever wants to start.",5,"I can say that initially with my high schooler I felt like he got almost depressed. He was a very good academic student, he had some social issues but academically he was doing very well, a 90-something average. And he started failing all his classes. He wasn't attending, he wasn't going, he was in bed all day. I would talk to him and I was the one that said, ""Well, why don't you try maybe connecting with your friends?"" Because he didn't have social media so I was like, ""Why don't you try connecting with your friends? Maybe play a game with them or send them a message and see how they're doing."" That helped, to connect, but then the connection is all now on this...",negative
